municipality,year,33,11,6,3,24,15,12,25,4,30,41,29,20,39,31,target,target_increase,prev_count
Fonte Boa,2011,745718,163229,8544063,4113528,3336,18011,22463,,53.0,,,,,,,1,0,23.0
Maués,2011,1244874,353346,1914291,41010765,5541,334859,20464,53.0,16143.0,5365.0,22.0,75.0,,,,1,0,110.0
Coari,2011,2673941,611163,9399043,52268041,11476,63665,13855,,,,,,,,,1,0,61.0
Manacapuru,2011,1391492,637613,2509697,3252088,14605,362101,52329,7.0,,,,,,,,1,0,116.0
Manaquiri,2011,301020,187690,1299224,2526282,1252,124088,14315,,30.0,,,,,,,1,0,21.0
São Gabriel da Cachoeira,2011,1475183,410683,20219077,98531371,9332,8434,44546,36.0,13.0,148.0,,,,,,1,0,99.0
Caapiranga,2011,300052,146435,1227247,8800091,1347,81917,34816,1.0,,,,,,,,1,0,43.0
Borba,2011,1715613,460725,5476364,41729866,4116,134615,144064,21.0,308.0,,,,,,,1,1,61.0
Urucará,2011,643107,244780,1529748,28636599,3170,144600,4701,,6.0,28575.0,15.0,92.0,,,,1,0,41.0
Manaus,2011,1625827,93185,634778,9836676,272388,287872,5188,919.0,10.0,7442.0,71.0,,1994.0,,,1,0,104.0
Codajás,2011,1423571,536002,6144774,12813037,2465,22512,11102,,,,,,,,,1,0,12.0
São Paulo de Olivença,2011,632391,56242,3950049,17386203,10241,19864,3423,,,,,,,,,1,0,11.0
Alvarães,2011,193851,30753,470104,5918854,1198,22806,1282,12.0,5.0,,,,,,,1,0,55.0
Canutama,2011,334959,162037,5896555,30152847,2434,807326,556665,11.0,18518.0,,2148.0,,,291.0,,1,1,81.0
Amaturá,2011,301646,26530,2050607,2934833,3227,9243,1084,,,,,,,,,1,0,10.0
São Sebastião do Uatumã,2011,529933,97895,637648,10522426,2893,120510,5663,174.0,9.0,,19.0,,,,,1,0,44.0
Nova Olinda do Norte,2011,447295,149325,981507,4564647,2840,99882,9058,,41.0,,,,,,,1,1,27.0
Urucurituba,2011,953274,818338,1270556,109999,2656,51549,956,,,,41.0,,,,,1,0,11.0
Iranduba,2011,335128,121466,362228,1450373,18009,195420,642,,7.0,,,,,,,1,0,67.0
Carauari,2011,419220,69177,5489658,22876906,3830,89219,1045,31.0,82.0,,,,,,,1,0,17.0
Jutaí,2011,1211651,132246,9784268,66783350,2203,43576,9311,2.0,460.0,,,,,,,1,0,48.0
Santa Isabel do Rio Negro,2011,755718,487150,14350012,54471555,3025,19517,96564,24.0,118.0,,,3420.0,,,,1,1,19.0
Beruri,2011,1005189,304294,4563870,13664316,1689,65964,1631,8.0,33.0,,,,,,,1,0,46.0
Benjamin Constant,2011,188644,11610,884595,8636150,10970,13427,311,,,,,,,,,1,1,5.0
Itamarati,2011,292221,40632,2736126,25340112,1563,33643,628,,,,,,,,,1,0,37.0
Tapauá,2011,1354882,803375,14793006,78515195,1810,77134,3885,22.0,256.0,,,,,,,1,0,60.0
Boa Vista do Ramos,2011,377506,315432,762407,1346781,1561,90836,6329,5.0,,,4.0,,,,,1,0,33.0
Lábrea,2011,517933,324080,6169042,65834898,7219,3289985,979648,175.0,10539.0,3393.0,802.0,2448.0,,,,1,1,235.0
Careiro,2011,323499,256477,1701045,4045635,3428,472676,30604,17.0,117.0,182.0,,,,,,1,0,114.0
Maraã,2011,1605527,847649,10106781,6243260,1513,16098,23319,,,,,,,,,1,0,39.0
Nhamundá,2011,1025393,393241,574523,13588947,1148,168022,5631,286.0,148.0,,111.0,,,,,1,0,128.0
Anamã,2011,194923,60435,684963,1782401,497,9699,8313,,,,,,,,,1,0,21.0
Itacoatiara,2011,1803164,662017,2037155,4873653,19667,512419,51921,270.0,,1219.0,3.0,,,,,1,0,162.0
Careiro da Várzea,2012,706476,545426,842683,596410,664,217644,34449,,,,7.0,,,,,1,0,93.0
Santo Antônio do Içá,2012,577292,32281,4159751,9071013,10593,8772,3350,,,,,,,,,1,0,21.0
Boca do Acre,2012,156661,49796,685029,21683783,4842,1731760,6698,571.0,1542.0,,124.0,,,,,1,0,432.0
Tonantins,2012,366972,59663,2128153,4646985,2414,8613,7151,,,,,,,,,1,0,12.0
Tefé,2012,728350,97990,1967123,23720051,8577,56457,3725,,397.0,,,,,,,1,0,40.0
Uarini,2012,554485,78796,3344770,7507968,2020,10918,12604,,,,,,,,,1,1,15.0
Guajará,2012,49656,10444,1187796,6914726,3940,381250,1103,2.0,,,,,,,,1,0,66.0
Autazes,2012,1200433,461108,1476872,4758223,7950,610585,63432,5.0,141.0,,,,,,,1,0,191.0
Japurá,2012,1490415,140751,7750355,52989923,1138,11305,6184,,,137.0,,,,,,1,0,11.0
Parintins,2012,2485029,575751,929217,2174432,17261,473358,10531,86.0,,,3950.0,,,,,1,0,58.0
Humaitá,2012,799465,731171,6245437,28320281,15795,505293,696869,152.0,9244.0,,,,,,,1,1,64.0
Barcelos,2012,5661528,7021887,36907875,86865023,3741,35310,356094,37.0,14120.0,,5395.0,6710.0,,,,1,0,19.0
Juruá,2012,718140,160504,6953425,13909361,1979,29274,12409,5.0,,,,,,,,1,0,6.0
Pauini,2012,260274,70313,1885595,44646884,2876,111047,3363,110.0,152.0,,,,,,,1,0,55.0
Presidente Figueiredo,2012,2951154,155091,1087127,23823104,6771,253164,47049,,64.0,54387.0,436.0,,46426.0,,,1,0,124.0
Ipixuna,2012,133095,20152,2119973,11226448,4282,145251,972,,11.0,,,,,,,1,1,29.0
Rio Preto da Eva,2012,15713,6668,171256,6147836,3517,163011,3258,,,329.0,,,,,,1,0,65.0
Eirunepé,2012,237000,59443,2441463,13978314,5868,141585,755,13.0,27.0,,,,,,,1,0,26.0
Barreirinha,2012,972670,358928,663485,4182181,4149,239403,21646,350.0,,,490.0,,,,,1,0,64.0
Silves,2012,616720,153711,266464,3033586,1387,83727,14274,12.0,,,54.0,,,,,1,0,21.0
